time_ISO8601,d18O,d18O_sd,d2H,d2H_sd,dexc,dexc_sd,H2O,H2O_sd
2017-01-23T00:00:00+00:00,-10.3846067712,0.174523674102,-83.7784093601,1.21799866588,-0.701555190693,2.25790516462,14078.5283801,96.4312230922
2017-01-23T01:00:00+00:00,-10.4159694119,0.180237443454,-83.8263663533,1.29834111623,-0.498611058122,2.27314128391,14127.5336548,75.2107260344
2017-01-23T02:00:00+00:00,-10.7341775828,0.189768479574,-85.2887209612,1.23796590126,0.584699701558,2.27982255425,13837.1662627,103.287675345
2017-01-23T03:00:00+00:00,-10.7726410691,0.162045805557,-85.545254569,1.22688471125,0.635873984147,2.22310058271,13746.0407329,42.0507672251
2017-01-23T04:00:00+00:00,-10.6658048272,0.165735570477,-85.3951305291,1.19988334046,-0.0686919117607,2.27516857426,13712.6687052,77.425162428
2017-01-23T05:00:00+00:00,-10.5552193159,0.16057294911,-85.5299793204,1.16672716585,-1.08822479354,2.19120355777,13560.1021856,16.336166635
2017-01-23T06:00:00+00:00,-10.5261347662,0.162426511203,-85.185266031,1.15503184421,-0.976187901416,2.19155668803,13595.4718946,24.6564810148
2017-01-23T07:00:00+00:00,-10.732422787,0.216308437375,-86.3861930116,1.39829484516,-0.526810715892,2.21882308553,13288.4702758,167.801338422
2017-01-23T08:00:00+00:00,-10.8466459166,0.186137866756,-86.9528532828,1.31905970093,-0.179685950198,2.21839356996,13425.9034479,197.026219656
2017-01-23T09:00:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-01-23T10:00:00+00:00,-10.5415695896,0.168695127352,-85.6081709945,1.199816023,-1.27561427733,2.28142537573,14060.3778935,25.3311306245
2017-01-23T11:00:00+00:00,-10.4230440405,0.166849502098,-85.2299594899,1.20192735701,-1.84560716596,2.2462542042,14173.1584536,68.6854417415
2017-01-23T12:00:00+00:00,-10.2900055437,0.191620361493,-84.6683600835,1.3362412826,-2.34831573367,2.27532193144,14391.620929,95.3764160043
2017-01-23T13:00:00+00:00,-10.1868573861,0.160389751376,-84.3032110412,1.19032447696,-2.80835195231,2.23392942689,14411.5262995,72.0957007915
2017-01-23T14:00:00+00:00,-10.1384941246,0.182423900657,-82.9034406578,1.40776145607,-1.79548766082,2.5386392976,15161.1384533,426.009862009
2017-01-23T15:00:00+00:00,-10.3684307092,0.228240984564,-83.4571217845,1.47464676587,-0.509676111035,2.35011558687,15279.8980695,194.051825681
2017-01-23T16:00:00+00:00,-10.71407359,0.210833612216,-85.3271984073,1.29205795329,0.385390312994,2.41709948515,15054.4545341,222.405353519
2017-01-23T17:00:00+00:00,-10.504572602,0.168342188415,-85.698368962,1.19736257496,-1.66178814577,2.28962016018,14369.8241114,118.004504888
2017-01-23T18:00:00+00:00,-12.1846038074,1.14730307843,-94.0613160567,5.51005268752,3.41551440286,4.34467792085,13899.3845287,293.237202296
2017-01-23T19:00:00+00:00,-12.9293546558,0.495294044124,-99.3809335782,3.00560599562,4.05390366819,2.49968573531,13317.4533497,138.900548156
